fname,lname,phone,email,password,course
Gracie,Vicente,30244408291,gracie.vicente@hotmail.com,,BBA
Barabara,Amedro,20344906894,barabara@amedro.net.au,,B.COM
Delsie,Ducos,30136108465,dducos@hotmail.com,,BCA
Cassie,Digregorio,20792205417,cdigregorio@digregorio.net.au,,BBA
Tamekia,Kajder,20749808576,tamekia_kajder@yahoo.com,,B.COM
Johanna,Saffer,20597001748,johanna@yahoo.com,,BCA
Sharita,Kruk,20738604544,sharita_kruk@gmail.com,,BBA
Gerald,Chrusciel,70744606315,gerald@chrusciel.net.au,,B.COM
Ardella,Dieterich,70358109462,ardella.dieterich@yahoo.com,,BCA
Jackie,Kellebrew,70984006419,jackie.kellebrew@kellebrew.com.au,,BBA
Mabelle,Ramero,70885706463,mabelle.ramero@ramero.net.au,,B.COM
Jonell,Biasi,20509502983,jbiasi@biasi.net.au,,BCA
Linwood,Wessner,30605302447,linwood.wessner@hotmail.com,,BBA
Samira,Heninger,70951202457,sheninger@yahoo.com,,B.COM
Julieta,Cropsey,70421706258,julieta@yahoo.com,,BCA
Serita,Barthlow,80294107378,serita_barthlow@gmail.com,,BBA
Tori,Tepley,20249301870,tori@tepley.net.au,,B.COM
Nancey,Whal,20324803283,nancey@whal.net.au,,BCA
Wilbert,Beckes,70917806430,wilbert@hotmail.com,,BBA
Werner,Hermens,30908505714,whermens@hermens.net.au,,B.COM
Sunny,Catton,70121709907,scatton@catton.com.au,,BCA
Keva,Moehring,20918704769,keva.moehring@moehring.net.au,,BBA
Mary,Dingler,70396304469,mary.dingler@gmail.com,,B.COM
Huey,Bukovac,80523602143,huey.bukovac@hotmail.com,,BCA
Antonio,Eighmy,30614407318,antonio.eighmy@yahoo.com,,BBA
Quinn,Weissbrodt,20723909923,qweissbrodt@weissbrodt.com.au,,B.COM
Carin,Georgiades,80834303550,cgeorgiades@gmail.com,,BCA
Jill,Davoren,70169809047,jill_davoren@davoren.net.au,,BBA
Sanjuana,Goodness,20220802711,sgoodness@goodness.net.au,,B.COM
Elin,Koerner,80522109700,elin_koerner@koerner.com.au,,BCA
Charlena,Decamp,80761502416,charlena@gmail.com,,BBA
Annette,Breyer,70541709612,abreyer@hotmail.com,,B.COM
Alexis,Morguson,80189501457,amorguson@morguson.com.au,,BCA
Princess,Saffo,20265606234,princess_saffo@hotmail.com,,BBA
Ashton,Sutherburg,30921503224,asutherburg@gmail.com,,B.COM
Elmer,Redlon,20107504690,elmer@hotmail.com,,BCA
Aliza,Akiyama,20932407803,aliza@yahoo.com,,BBA
Ora,Handrick,30835704617,ora.handrick@gmail.com,,B.COM
Brent,Ahlborn,80456309520,bahlborn@ahlborn.com.au,,BCA
Tora,Telch,80880808104,tora@telch.net.au,,BBA
Hildred,Eilbeck,80292204115,hildred_eilbeck@eilbeck.net.au,,B.COM
Dante,Freiman,70196404238,dante_freiman@freiman.net.au,,BCA
Emmanuel,Avera,20198708525,emmanuel@yahoo.com,,BBA
Keshia,Wasp,80168309243,kwasp@wasp.net.au,,B.COM
Sherman,Mahmud,20262103361,sherman@mahmud.com.au,,BCA
Lore,Brothers,30878003473,lore@hotmail.com,,BBA
Shawn,Weibe,30948009611,shawn@hotmail.com,,B.COM
Karima,Cheever,20597708561,karima_cheever@hotmail.com,,BCA
Francesco,Kloos,80168704873,fkloos@kloos.com.au,,BBA
King,Picton,80760502080,king@hotmail.com,,B.COM
Mica,Simco,70103703391,msimco@gmail.com,,BCA
Lamonica,Princiotta,80522702620,lamonica@hotmail.com,,BBA
Curtis,Ware,80627809532,curtis@ware.net.au,,B.COM
Sabrina,Rabena,30566203542,sabrina_rabena@hotmail.com,,BCA
Denae,Saeteun,30280207434,denae_saeteun@hotmail.com,,BBA
Anastacia,Carranzo,20607803417,anastacia@yahoo.com,,B.COM
Irving,Plocica,30905002741,irving@hotmail.com,,BCA
Elenor,Siefken,70508508138,elenor.siefken@yahoo.com,,BBA
Mary,Irene,80801206469,mirene@gmail.com,,B.COM
Crista,Padua,20947205814,crista_padua@gmail.com,,BCA
Lawana,Yuasa,30232403472,lawana_yuasa@yuasa.net.au,,BBA
Maryrose,Cove,20801008344,mcove@hotmail.com,,B.COM
Lindsey,Rathmann,80126901489,lindsey_rathmann@rathmann.com.au,,BCA
Lynelle,Koury,30521308219,lynelle.koury@koury.net.au,,BBA
Brice,Bogacz,80520302193,bbogacz@hotmail.com,,B.COM
Laine,Killean,30281306426,laine@gmail.com,,BCA
Rachael,Crawley,80208908553,rachael@gmail.com,,BBA
Della,Selestewa,20488508382,della.selestewa@gmail.com,,B.COM
Thomasena,Graziosi,80484904417,thomasena@gmail.com,,BCA
Frederic,Schimke,30482905695,fschimke@schimke.com.au,,BBA
Halina,Dellen,80674202308,halina.dellen@dellen.com.au,,B.COM
Ryann,Riston,70992003550,ryann@hotmail.com,,BCA
Shawn,Vugteveen,70310308372,svugteveen@vugteveen.net.au,,BBA
Leah,Milsap,80404009192,leah@milsap.com.au,,B.COM
Ira,Zihal,70472409987,ira.zihal@yahoo.com,,BCA
Paris,Kinnison,70451804450,paris.kinnison@gmail.com,,BCA
Shayne,Sundahl,80858701196,shayne.sundahl@gmail.com,,BCA
Ernestine,Paavola,80114006357,ernestine.paavola@paavola.com.au,,BCA
Eleonore,Everline,30535505505,eeverline@hotmail.com,,BCA
Misty,Leriche,70548601002,mleriche@yahoo.com,,BCA
Na,Hodges,80821501588,na_hodges@hotmail.com,,BCA
Juan,Knudtson,30917306140,juan@gmail.com,,BCA
Gerald,Kloepper,70429704607,gerald@yahoo.com,,BCA
Desmond,Tarkowski,70679305954,desmond_tarkowski@hotmail.com,,BCA
Tommy,Gennusa,20544401961,tommy@hotmail.com,,BCA
Adrianna,Poncio,70611309653,adrianna@poncio.com.au,,BCA
Adaline,Galagher,20322501954,adaline.galagher@galagher.com.au,,BCA
Tammi,Schiavi,80970702679,tammi.schiavi@hotmail.com,,BCA
Virgilio,Phay,80814709584,vphay@phay.com.au,,BCA
Emeline,Sotelo,70724006480,emeline@gmail.com,,BCA
Marcos,Seniff,30634005010,marcos_seniff@gmail.com,,BCA
Yuonne,Carabajal,80743204632,ycarabajal@carabajal.com.au,,BCA
Gladis,Kazemi,70644403666,gkazemi@kazemi.net.au,,BCA
Muriel,Drozdowski,70568608088,muriel_drozdowski@hotmail.com,,BCA
Juliann,Dammeyer,80356208644,juliann@gmail.com,,BCA
Reiko,Dejarme,80373305261,rdejarme@dejarme.net.au,,BCA
Verdell,Garness,20629107620,verdell.garness@yahoo.com,,BCA
Arleen,Kane,70347602066,arleen.kane@hotmail.com,,BCA
Launa,Vanauken,80980802647,launa@gmail.com,,BCA
Casandra,Gordis,20580806388,casandra_gordis@gordis.com.au,,BCA
Julio,Puccini,20563209914,julio@gmail.com,,BCA
Alica,Alerte,20697407785,aalerte@alerte.com.au,,BCA
Karol,Sarkissian,20349002407,ksarkissian@yahoo.com,,BCA
Wava,Ochs,20122207812,wava.ochs@gmail.com,,BCA
Felicitas,Gong,70851606453,fgong@gong.com.au,,BCA
Jamie,Kushnir,20462308120,jamie@kushnir.net.au,,BCA
Fidelia,Dampier,20803509997,fidelia_dampier@gmail.com,,BCA
Kris,Medich,30658902556,kris.medich@hotmail.com,,BCA
Lashawna,Filan,80693704366,lashawna.filan@filan.net.au,,BCA
Lachelle,Andrzejewski,20341609617,lachelle.andrzejewski@andrzejewski.com.au,,BCA
Katy,Saltourides,20300301369,katy_saltourides@yahoo.com,,BCA
Bettyann,Fernades,80290103421,bettyann@fernades.com.au,,BCA
Valda,Levay,80240105672,vlevay@levay.net.au,,BCA
Lynette,Beaureguard,70667903722,lynette.beaureguard@hotmail.com,,BCA
Victor,Laroia,20815606969,victor@laroia.net.au,,BCA
Pa,Badgero,30186105074,pa_badgero@badgero.com.au,,BCA
Dorathy,Miskelly,30634009772,dorathy.miskelly@gmail.com,,BCA
Rodrigo,Schuh,20386904096,rodrigo_schuh@gmail.com,,BCA
Stanford,Waganer,80320001670,stanford_waganer@waganer.net.au,,BCA
Michael,Orehek,20191901709,michael_orehek@gmail.com,,BCA
Ines,Tokich,70501707337,ines_tokich@tokich.net.au,,BCA
Dorinda,Markoff,20652909317,dorinda_markoff@hotmail.com,,B.COM
Clarence,Gabbert,20477601384,clarence.gabbert@gmail.com,,B.COM
Omer,Radel,80991909540,omer_radel@radel.net.au,,B.COM
Winifred,Kingshott,20531801342,winifred.kingshott@yahoo.com,,B.COM
Theresia,Salomone,70825002277,theresia_salomone@gmail.com,,B.COM
Daisy,Kearsey,80212705977,dkearsey@yahoo.com,,B.COM
Aretha,Bodle,80738502716,aretha_bodle@hotmail.com,,B.COM
Bettina,Diciano,20356607608,bdiciano@diciano.com.au,,B.COM
Omega,Mangino,30662305501,omega.mangino@hotmail.com,,B.COM
Dana,Vock,20668901150,dana_vock@yahoo.com,,B.COM
Naomi,Tuamoheloa,80613701726,naomi@yahoo.com,,B.COM
Luis,Yerry,30449204927,luis@hotmail.com,,B.COM
Dominga,Barchacky,80308709658,dominga.barchacky@hotmail.com,,B.COM
Isreal,Calizo,20349403282,isreal_calizo@gmail.com,,B.COM
Myrtie,Korba,80317402706,mkorba@hotmail.com,,B.COM
Jodi,Naifeh,20619305184,jodi@hotmail.com,,B.COM
Pearly,Hedstrom,80341206699,pearly@gmail.com,,B.COM
Aileen,Menez,80119602822,aileen_menez@menez.net.au,,B.COM
Glory,Carlo,70926507183,glory_carlo@gmail.com,,B.COM
Kathrine,Francoise,30879109436,kathrine@yahoo.com,,B.COM
Domingo,Mckale,80991907850,domingo_mckale@mckale.net.au,,B.COM
Julian,Laprade,70262709976,jlaprade@laprade.net.au,,B.COM
Marylou,Lofts,30176504584,marylou_lofts@lofts.com.au,,B.COM
Louis,Brueck,80522803628,louis.brueck@brueck.net.au,,B.COM
Ellsworth,Guenther,30274901381,eguenther@hotmail.com,,B.COM
Wilburn,Lary,80104204275,wlary@lary.net.au,,B.COM
Arlie,Borra,20121103823,arlie.borra@gmail.com,,B.COM
Alysa,Lehoux,20138503480,alysa@hotmail.com,,B.COM
Marilynn,Herrera,30144707041,marilynn.herrera@herrera.net.au,,B.COM
Scot,Jarva,20967604462,scot.jarva@jarva.com.au,,B.COM
Adelaide,Ender,70753805504,aender@gmail.com,,B.COM
Jackie,Borchelt,30805508668,jackie_borchelt@hotmail.com,,B.COM
Carli,Bame,70535407251,carli@yahoo.com,,B.COM
Coletta,Thro,80199106947,coletta.thro@thro.net.au,,B.COM
Katheryn,Lamers,20488501611,katheryn_lamers@gmail.com,,B.COM
Santos,Wisenbaker,20295704812,swisenbaker@wisenbaker.net.au,,B.COM
Kimberely,Weyman,20709108948,kweyman@weyman.com.au,,B.COM
Earlean,Suffern,20965302199,earlean.suffern@suffern.net.au,,B.COM
Dannette,Heimbaugh,70873804205,dannette@gmail.com,,B.COM
Odelia,Hutchin,80989501954,odelia.hutchin@hutchin.com.au,,B.COM
Lina,Schwiebert,30360805660,lina@yahoo.com,,B.COM
Fredric,Johanningmeie,20182701736,fredric@hotmail.com,,B.COM
Alfreda,Delsoin,70736908849,adelsoin@yahoo.com,,B.COM
Bernadine,Elamin,20181508700,bernadine_elamin@yahoo.com,,B.COM
